_date,total_clones,unique_clones
2020-12-11,1,1
2020-12-13,1,1
2020-12-16,1,1
2020-12-19,3,3
2020-12-21,6,6
2020-12-25,6,6
2020-12-26,7,7
2020-12-28,3,3
2021-01-04,2,2
2021-01-10,1,1
2021-01-11,2,2
2021-01-18,4,4
